,Unnamed: 0,qid,title,category,sub_category,cve_id,cvss,publish_date
66,73,375866,Node.js Handlebar Module Remote Code Execution Vulnerability,Local,"Unix Authenticated Discovery, Patch Available",CVE-2019-19919,9.8,2021-09-29
72,79,375891,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) TMUI Cross-Site Scripting (XSS) Vulnerability (K21435974)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23037,9.6,2021-09-29
88,120,105998,EOL/Obsolete Operating System: Microsoft Windows 10 Version 1909 Detected,Security Policy,Windows Authenticated Discovery,,9.8,2021-09-07
89,122,375884,Microsoft Edge Based on Chromium Prior to 94.0.992.31 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available","CVE-2021-37973,CVE-2021-37972,CVE-2021-37971,CVE-2021-37970,CVE-2021-37969,CVE-2021-37968,CVE-2021-37967,CVE-2021-37966,CVE-2021-37965,CVE-2021-37964,CVE-2021-37963,CVE-2021-37962,CVE-2021-37961,CVE-2021-37960,CVE-2021-37959,CVE-2021-37958,CVE-2021-37957,CVE-2021-37956",9.8,2021-09-27
96,129,670645,EulerOS Security Update for libwebp (EulerOS-SA-2021-2403),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-36331,CVE-2018-25009,CVE-2018-25011,CVE-2018-25012,CVE-2018-25013,CVE-2018-25014,CVE-2020-36328,CVE-2020-36329,CVE-2020-36330",9.8,2021-09-28
98,131,670647,EulerOS Security Update for libX11 (EulerOS-SA-2021-2405),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-31535,9.8,2021-09-28
100,133,670649,EulerOS Security Update for lz4 (EulerOS-SA-2021-2407),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-3520,9.8,2021-09-28
105,138,670654,EulerOS Security Update for nginx (EulerOS-SA-2021-2412),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-23017,CVE-2017-20005",9.8,2021-09-28
119,152,670668,EulerOS Security Update for python (EulerOS-SA-2021-2427),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-3177,CVE-2021-23336",9.8,2021-09-28
121,154,670670,EulerOS Security Update for python-ecdsa (EulerOS-SA-2021-2429),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2019-14859,9.1,2021-09-28
128,161,670678,EulerOS Security Update for unbound (EulerOS-SA-2021-2436),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2020-28935,CVE-2019-25041,CVE-2019-25033,CVE-2019-25034,CVE-2019-25035,CVE-2019-25040,CVE-2019-25039,CVE-2019-25036,CVE-2019-25038,CVE-2019-25042,CVE-2019-25037,CVE-2019-25031,CVE-2019-25032",9.8,2021-09-28
138,171,670689,EulerOS Security Update for screen (EulerOS-SA-2021-2447),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2021-26937,9.8,2021-09-28
141,174,670692,EulerOS Security Update for spamassassin (EulerOS-SA-2021-2450),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2018-11805,CVE-2020-1946",9.8,2021-09-28
149,182,751168,SUSE Enterprise Linux Security Update for sqlite3 (SUSE-SU-2021:3215-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2015-3415,CVE-2019-19924,CVE-2019-16168,CVE-2019-20218,CVE-2019-19925,CVE-2019-19244,CVE-2017-10989,CVE-2019-19880,CVE-2019-8457,CVE-2020-9327,CVE-2018-8740,CVE-2019-19603,CVE-2019-19923,CVE-2020-13630,CVE-2015-3414,CVE-2019-19317,CVE-2020-13632,CVE-2016-6153,CVE-2020-13435,CVE-2019-19646,CVE-2019-19959,CVE-2018-20346,CVE-2020-13434,CVE-2020-13631,CVE-2017-2518,CVE-2020-15358,CVE-2019-19645,CVE-2019-19926",9.8,2021-09-28
150,183,751169,SUSE Enterprise Linux Security Update for ffmpeg (SUSE-SU-2021:3212-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-38171,9.8,2021-09-28
163,196,670609,EulerOS Security Update for exiv2 (EulerOS-SA-2021-2367),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-29458,CVE-2021-29473,CVE-2021-32617,CVE-2019-17402,CVE-2018-10999,CVE-2018-16336,CVE-2018-19607,CVE-2018-11531",9.8,2021-09-28
170,203,670616,EulerOS Security Update for glibc (EulerOS-SA-2021-2374),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2021-3326,CVE-2016-10228,CVE-2020-27618,CVE-2021-33574",9.8,2021-09-28
181,214,670628,EulerOS Security Update for irssi (EulerOS-SA-2021-2386),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2019-5882,9.8,2021-09-28
187,220,670636,EulerOS Security Update for libexif (EulerOS-SA-2021-2394),EulerOS,"Unix Authenticated Discovery, Patch Available",CVE-2020-0452,9.8,2021-09-28
192,225,670641,EulerOS Security Update for libplist (EulerOS-SA-2021-2399),EulerOS,"Unix Authenticated Discovery, Patch Available","CVE-2017-5209,CVE-2017-6440",9.1,2021-09-28
200,237,375877,"Kibana Multiple Security Vulnerabilities (ESA-2021-21, ESA-2021-22, ESA-2021-24)",Local,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-22150,CVE-2021-22151,CVE-2021-22930,CVE-2021-3672,CVE-2021-22931,CVE-2021-22930,CVE-2021-22939",9.8,2021-09-28
204,241,216265,VMware vCenter Server 7.0 Update 7.0 U2c (VMSA-2021-0020),VMware,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-21991,CVE-2021-21992,CVE-2021-21993,CVE-2021-22005,CVE-2021-22006,CVE-2021-22007,CVE-2021-22008,CVE-2021-22009,CVE-2021-22010,CVE-2021-22014,CVE-2021-22015,CVE-2021-22019,CVE-2021-22020",9.8,2021-09-22
206,244,751136,SUSE Enterprise Linux Security Update for ghostscript (SUSE-SU-2021:3044-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-3781,9.8,2021-09-20
209,248,730080,Hewlett Packard Enterprise (HPE) Edgeline Infrastructure Manager Authentication Bypass Vulnerability (HPESBGN04124),CGI,"Remote Discovery, Patch Available",CVE-2021-29203,9.8,2021-05-20
217,257,43857,Hewlett Packard Enterprise (HPE) ArubaOS Buffer Overflow Vulnerability (ARUBA-PSA-2021-016),Hardware,"SNMP Authenticated Discovery, Patch Available",CVE-2021-37716,9.8,2021-09-27
233,273,375883,Google Chrome Prior to 94.0.4606.61 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available",CVE-2021-37973,9.8,2021-09-27
235,279,375806,Azul Java Multiple Vulnerabilities Security Update April 2019,Local,"Authenticated Discovery, Patch Available, Exploit Available","CVE-2019-2699,CVE-2019-2698,CVE-2019-2602,CVE-2019-2684",9.0,2021-09-27
241,285,900034,CBL-Mariner Linux Security Update for glibc 2.28,CBL-Mariner,Unix Authenticated Discovery,"CVE-2010-4756,CVE-2019-9192,CVE-2021-33574,CVE-2016-3706",9.8,2021-08-03
242,289,91816,Microsoft Windows Security Update for September 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-38667,CVE-2021-38639,CVE-2021-38638,CVE-2021-38637,CVE-2021-26435,CVE-2021-40447,CVE-2021-38671,CVE-2021-36965,CVE-2021-36967,CVE-2021-36974,CVE-2021-36972,CVE-2021-36966,CVE-2021-36969,CVE-2021-36973,CVE-2021-36962,CVE-2021-36961,CVE-2021-36964,CVE-2021-36963,CVE-2021-36959,CVE-2021-36968,CVE-2021-36975,CVE-2021-38636,CVE-2021-38635,CVE-2021-38633,CVE-2021-38629,CVE-2021-38628,CVE-2021-38634,CVE-2021-38632,CVE-2021-38630,CVE-2021-38624,CVE-2021-36955,CVE-2021-36954,CVE-2021-36960,CVE-2021-36958",9.8,2021-09-15
245,292,900058,CBL-Mariner Linux Security Update for python-netaddr 0.7.19,CBL-Mariner,Unix Authenticated Discovery,CVE-2019-17383,9.8,2021-08-06
281,329,91802,Microsoft Windows Security Update for August 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-36948,CVE-2021-36938,CVE-2021-36937,CVE-2021-36936,CVE-2021-36933,CVE-2021-36932,CVE-2021-36927,CVE-2021-36926,CVE-2021-26432,CVE-2021-26433,CVE-2021-26431,CVE-2021-26426,CVE-2021-26424,CVE-2021-34537,CVE-2021-34487,CVE-2021-34536,CVE-2021-34486,CVE-2021-34535,CVE-2021-34534,CVE-2021-34483,CVE-2021-34480,CVE-2021-34530,CVE-2021-36947,CVE-2021-26425,CVE-2021-34484,CVE-2021-34533",9.8,2021-08-11
282,330,91795,Microsoft Windows Security Update for July 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-34504,CVE-2021-34476,CVE-2021-34460,CVE-2021-34509,CVE-2021-34455,CVE-2021-34459,CVE-2021-34498,CVE-2021-34448,CVE-2021-34497,CVE-2021-34496,CVE-2021-34446,CVE-2021-34492,CVE-2021-34512,CVE-2021-34461,CVE-2021-34511,CVE-2021-34516,CVE-2021-34514,CVE-2021-34513,CVE-2021-34454,CVE-2021-34500,CVE-2021-34462,CVE-2021-34466,CVE-2021-34447,CVE-2021-34456,CVE-2021-34450,CVE-2021-34507,CVE-2021-34457,CVE-2021-34508,CVE-2021-34449,CVE-2021-34510,CVE-2021-34445,CVE-2021-34493,CVE-2021-34491,CVE-2021-34503,CVE-2021-34441,CVE-2021-34440,CVE-2021-34490,CVE-2021-34489,CVE-2021-34439,CVE-2021-34488,CVE-2021-33788,CVE-2021-33786,CVE-2021-33785,CVE-2021-33784,CVE-2021-33783,CVE-2021-33782,CVE-2021-33781,CVE-2021-33779,CVE-2021-33774,CVE-2021-33773,CVE-2021-33772,CVE-2021-33771,CVE-2021-33765,CVE-2021-33764,CVE-2021-33763,CVE-2021-33761,CVE-2021-33760,CVE-2021-33759,CVE-2021-33758,CVE-2021-33757,CVE-2021-33756,CVE-2021-33755,CVE-2021-33751,CVE-2021-33750,CVE-2021-33749,CVE-2021-31979,CVE-2021-31961,CVE-2021-34525,CVE-2021-33743,CVE-2021-33744,CVE-2021-33752,CVE-2021-31183",9.9,2021-07-14
283,331,91772,Microsoft Windows Security Update for June 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-1675,CVE-2021-26414,CVE-2021-31199,CVE-2021-31201,CVE-2021-31951,CVE-2021-31952,CVE-2021-31953,CVE-2021-31954,CVE-2021-31955,CVE-2021-31956,CVE-2021-31958,CVE-2021-31959,CVE-2021-31960,CVE-2021-31962,CVE-2021-31968,CVE-2021-31969,CVE-2021-31970,CVE-2021-31971,CVE-2021-31972,CVE-2021-31973,CVE-2021-31974,CVE-2021-31975,CVE-2021-31976,CVE-2021-31977,CVE-2021-33742",9.8,2021-06-09
284,332,91762,Microsoft Windows Security Update for May 2021,Windows,"Windows Authenticated Discovery, Patch Available","CVE-2021-31192,CVE-2021-31188,CVE-2021-31170,CVE-2021-28476,CVE-2021-31184,CVE-2021-31190,CVE-2021-31167,CVE-2021-31168,CVE-2021-31208,CVE-2021-31169,CVE-2021-31165,CVE-2021-31182,CVE-2021-28479,CVE-2021-31185,CVE-2021-31194,CVE-2021-31191,CVE-2021-31186,CVE-2021-31205,CVE-2021-31193,CVE-2021-31187,CVE-2020-26144,CVE-2020-24587,CVE-2020-24588",9.9,2021-05-12
287,335,150368,Atlassian Confluence Server Webwork OGNL Injection RCE Vulnerability (CVE-2021-26084),Web Application,"Remote Discovery, Patch Available, Exploit Available",CVE-2021-26084,9.8,2021-09-27
291,339,239645,Red Hat Update for nodejs:12 (RHSA-2021:3623),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-3672,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-32803,CVE-2021-32804",9.8,2021-09-24
299,347,751171,OpenSUSE Security Update for nodejs14 (openSUSE-SU-2021:3211-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2021-22930,CVE-2021-22939,CVE-2021-3672,CVE-2021-22931,CVE-2021-22940",9.8,2021-09-24
300,348,751172,OpenSUSE Security Update for ffmpeg (openSUSE-SU-2021:3193-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-38171,9.8,2021-09-24
308,357,751153,SUSE Enterprise Linux Security Update for ghostscript (SUSE-SU-2021:3180-1),SUSE,"Unix Authenticated Discovery, Patch Available",CVE-2021-3781,9.8,2021-09-24
325,374,281894,Fedora Security Update for chromium (FEDORA-2021-6225d60814),Fedora,"Unix Authenticated Discovery, Patch Available","CVE-2021-30608,CVE-2021-30573,CVE-2021-30611,CVE-2021-30618,CVE-2021-30617,CVE-2021-30576,CVE-2021-30598,CVE-2021-30600,CVE-2021-30607,CVE-2021-30594,CVE-2021-30589,CVE-2021-30586,CVE-2021-30569,CVE-2021-30587,CVE-2021-30592,CVE-2021-30606,CVE-2021-30610,CVE-2021-30619,CVE-2021-30585,CVE-2021-30601,CVE-2021-30591,CVE-2021-30574,CVE-2021-30565,CVE-2021-30612,CVE-2021-30583,CVE-2021-30622,CVE-2021-30568,CVE-2021-30590,CVE-2021-30584,CVE-2021-30621,CVE-2021-30577,CVE-2021-30620,CVE-2021-30609,CVE-2021-30616,CVE-2021-30566,CVE-2021-30567,CVE-2021-30588,CVE-2021-30613,CVE-2021-30581,CVE-2021-30604,CVE-2021-30572,CVE-2021-30602,CVE-2021-30615,CVE-2021-30614,CVE-2021-30593,CVE-2021-30582,CVE-2021-30623,CVE-2021-30603,CVE-2021-30596,CVE-2021-30579,CVE-2021-30578,CVE-2021-30575,CVE-2021-30599,CVE-2021-30597,CVE-2021-30580,CVE-2021-30571,CVE-2021-30624",9.6,2021-09-24
326,375,281895,Fedora Security Update for chromium (FEDORA-2021-78b9d84299),Fedora,"Unix Authenticated Discovery, Patch Available","CVE-2021-30608,CVE-2021-30573,CVE-2021-30611,CVE-2021-30618,CVE-2021-30617,CVE-2021-30576,CVE-2021-30598,CVE-2021-30600,CVE-2021-30607,CVE-2021-30594,CVE-2021-30589,CVE-2021-30586,CVE-2021-30569,CVE-2021-30587,CVE-2021-30592,CVE-2021-30606,CVE-2021-30610,CVE-2021-30619,CVE-2021-30585,CVE-2021-30601,CVE-2021-30591,CVE-2021-30574,CVE-2021-30565,CVE-2021-30612,CVE-2021-30583,CVE-2021-30622,CVE-2021-30568,CVE-2021-30590,CVE-2021-30584,CVE-2021-30621,CVE-2021-30577,CVE-2021-30620,CVE-2021-30609,CVE-2021-30616,CVE-2021-30566,CVE-2021-30567,CVE-2021-30588,CVE-2021-30613,CVE-2021-30581,CVE-2021-30604,CVE-2021-30572,CVE-2021-30602,CVE-2021-30615,CVE-2021-30614,CVE-2021-30593,CVE-2021-30582,CVE-2021-30623,CVE-2021-30603,CVE-2021-30596,CVE-2021-30579,CVE-2021-30578,CVE-2021-30575,CVE-2021-30599,CVE-2021-30597,CVE-2021-30580,CVE-2021-30571,CVE-2021-30624",9.6,2021-09-24
341,390,281910,Fedora Security Update for Hypertext Transfer Protocol Daemon (HTTPd) (FEDORA-2021-dce7e7738e),Fedora,"Unix Authenticated Discovery, Patch Available","CVE-2021-26690,CVE-2020-35452,CVE-2019-17567,CVE-2021-39275,CVE-2021-40438,CVE-2021-30641,CVE-2021-36160,CVE-2021-26691,CVE-2020-13950,CVE-2021-34798",9.8,2021-09-24
353,402,106020,EOL/Obsolete Software: MongoDB Database Version 3.2.x Detected.,Security Policy,Unix Authenticated Discovery,,9.8,2021-09-24
354,403,106021,EOL/Obsolete Software: Microsoft .Net Core Version 2.1 Detected,Security Policy,Windows Authenticated Discovery,,9.8,2021-09-24
357,406,105999,EOL/Obsolete Software: Microsoft Office Project 2010 Service Pack 1 Detected,Security Policy,Windows Authenticated Discovery,,10.0,2021-07-22
363,412,216266,VMware vCenter Server 6.7 Update 6.7 U3o (VMSA-2021-0020),VMware,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-21991,CVE-2021-21992,CVE-2021-21993,CVE-2021-22005,CVE-2021-22006,CVE-2021-22007,CVE-2021-22008,CVE-2021-22009,CVE-2021-22010,CVE-2021-22011,CVE-2021-22014,CVE-2021-22015,CVE-2021-22016,CVE-2021-22017,CVE-2021-22019,CVE-2021-22020",9.8,2021-09-22
364,413,216264,VMware ESXi 6.5 Patch Release ESXi650-202107401-SG Missing (VMSA-2021-0014),VMware,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-21994,CVE-2021-21995",9.8,2021-09-20
365,414,216263,VMware ESXi 7.0 Patch Release ESXi70U2-17630552 Missing (VMSA-2021-0014),VMware,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-21994,CVE-2021-21995",9.8,2021-09-20
366,415,216262,VMware ESXi 6.7 Patch Release ESXi670-202103101-SG Missing (VMSA-2021-0014),VMware,"Remote Discovery, Unix Authenticated Discovery, Patch Available","CVE-2021-21994,CVE-2021-21995",9.8,2021-08-03
368,417,730209,Apache Hypertext Transfer Protocol Server (HTTP Server) Multiple Vulnerabilities,CGI,"Remote Discovery, Patch Available","CVE-2021-34798,CVE-2021-39275,CVE-2021-40438",9.8,2021-09-23
376,431,375841,Node.js Pac-Resolver Module Remote Code Execution (RCE) Vulnerability,Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23406,9.8,2021-09-23
378,433,375873,Apple Xcode Prior to 13 Vulnerability (HT212818),Local,"Unix Authenticated Discovery, Patch Available","CVE-2016-0742,CVE-2016-0746,CVE-2016-0747,CVE-2017-7529,CVE-2018-16843,CVE-2018-16844,CVE-2018-16845,CVE-2019-20372",9.8,2021-09-23
379,434,375875,Google Chrome Prior to 94.0.4606.54 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available","CVE-2021-37956,CVE-2021-37957,CVE-2021-37958,CVE-2021-37959,CVE-2021-37960,CVE-2021-37961,CVE-2021-37962,CVE-2021-37963,CVE-2021-37964,CVE-2021-37965,CVE-2021-37966,CVE-2021-37967,CVE-2021-37968,CVE-2021-37969,CVE-2021-37970,CVE-2021-37971,CVE-2021-37972",9.8,2021-09-23
384,439,730205,Apache Zeppelin Multiple Vulnerabilities,CGI,"Remote Discovery, Patch Available","CVE-2019-10095,CVE-2020-13929,CVE-2021-27578",9.8,2021-09-23
385,440,730207,Apache Zeppelin Unauthenticated Websocket Vulnerability,CGI,"Remote Discovery, Patch Available",,9.4,2021-09-23
386,441,178774,Debian Security Update for Open Secure Sockets Layer (OpenSSL) (DSA 4963-1),Debian,"Unix Authenticated Discovery, Patch Available","CVE-2021-3711,CVE-2021-3712",9.8,2021-09-23
389,447,374793,"Apple macOS Big Sur 11.2, Security Update 2021-001 Catalina, Security Update 2021-001 Mojave (HT212147)",Local,"Unix Authenticated Discovery, Patch Available","CVE-2021-1781,CVE-2019-20838,CVE-2020-14155,CVE-2020-15358,CVE-2020-25709,CVE-2020-27904,CVE-2020-27937,CVE-2020-27938,CVE-2020-27945,CVE-2020-29608,CVE-2020-29614,CVE-2020-29633,CVE-2021-1736,CVE-2021-1737,CVE-2021-1738,CVE-2021-1741,CVE-2021-1742,CVE-2021-1743,CVE-2021-1744,CVE-2021-1745,CVE-2021-1746,CVE-2021-1747,CVE-2021-1750,CVE-2021-1751,CVE-2021-1753,CVE-2021-1754,CVE-2021-1757,CVE-2021-1758,CVE-2021-1759,CVE-2021-1760,CVE-2021-1761,CVE-2021-1762,CVE-2021-1763,CVE-2021-1764,CVE-2021-1765,CVE-2021-1766,CVE-2021-1767,CVE-2021-1768,CVE-2021-1769,CVE-2021-1771,CVE-2021-1772,CVE-2021-1773,CVE-2021-1774,CVE-2021-1775,CVE-2021-1776,CVE-2021-1777,CVE-2021-1778,CVE-2021-1779,CVE-2021-1782,CVE-2021-1783,CVE-2021-1785,CVE-2021-1786,CVE-2021-1787,CVE-2021-1788,CVE-2021-1789,CVE-2021-1790,CVE-2021-1791,CVE-2021-1792,CVE-2021-1793,CVE-2021-1797,CVE-2021-1799,CVE-2021-1801,CVE-2021-1802,CVE-2021-1818,CVE-2021-1870,CVE-2021-1871",9.8,2021-02-17
390,448,375510,Apple macOS Security Update 2021-003 Mojave (HT212327),Local,"Unix Authenticated Discovery, Patch Available","CVE-2020-27942,CVE-2020-3838,CVE-2020-8037,CVE-2020-8285,CVE-2020-8286,CVE-2021-1739,CVE-2021-1784,CVE-2021-1797,CVE-2021-1805,CVE-2021-1806,CVE-2021-1808,CVE-2021-1809,CVE-2021-1811,CVE-2021-1813,CVE-2021-1828,CVE-2021-1834,CVE-2021-1839,CVE-2021-1840,CVE-2021-1843,CVE-2021-1847,CVE-2021-1851,CVE-2021-1857,CVE-2021-1860,CVE-2021-1868,CVE-2021-1873,CVE-2021-1875,CVE-2021-1876,CVE-2021-1878,CVE-2021-1881,CVE-2021-30652,CVE-2020-8284",9.8,2021-04-28
391,449,178619,Debian Security Update for libx11 (DSA 4920-1),Debian,"Unix Authenticated Discovery, Patch Available",CVE-2021-31535,9.8,2021-06-03
392,450,178632,Debian Security Update for lz4 (DSA 4919-1),Debian,"Unix Authenticated Discovery, Patch Available",CVE-2021-3520,9.8,2021-06-03
393,451,178670,Debian Security Update for libwebp (DSA 4930-1),Debian,"Unix Authenticated Discovery, Patch Available","CVE-2018-25014,CVE-2018-25010,CVE-2020-36332,CVE-2020-36331,CVE-2020-36328,CVE-2018-25013,CVE-2018-25009,CVE-2020-36330,CVE-2020-36329,CVE-2018-25011,CVE-2018-25012",9.8,2021-06-14
